"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"7798",0,0,0,0,0,0,0,0,0,34,0,0,0,6,1,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,109,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1
"7799",0,0,2,0,0,0,11,0,0,0,0,0,0,5,33,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,1,0,11,0,0,1,1,0,5,0,0,0
"7800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,10,10,0,0,1,0,3,0,0,0,0,21,0,0,77,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"7801",0,1,0,0,1,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,53,0,0,5,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,2,0,9,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7802",0,35,0,0,0,0,0,0,29,0,0,6,0,0,0,0,0,0,2,0,0,0,6,0,0,2,0,1,2,0,0,0,0,1,0,0,13,0,0,8,2,0,0,0,0,1,0,0,0,1,15,0,0,0,0,0,0,0,0,0,9,0,0,2,12,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,7,0,0,2,0,1,1,0,83,0,6,0,0,1,0,5,0,0,0,0
"7803",1,0,0,0,0,0,0,1,0,0,0,2,0,0,7,0,0,0,1,0,2,1,0,1,0,0,1,1,8,0,0,0,0,0,7,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,123,0,0,0
"7804",0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,6,3,0,0,3,5,0,0,23,0,0,0,10,0,0,0,20,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,17,5,0,13,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"7805",2,18,0,0,51,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,17,0,0,0,2,2,0,0,0,1,0,11,0,0,5,0,0,0,0,0,47,1,0,0,0,8,0,0,0,0,0,0,0,0,27,0,5,0,2,0,68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"7806",6,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,54,0,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,0,30,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7807",0,0,0,0,0,0,0,1,0,23,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,69,0,0,0,4,36,0,0,0,0,0,0,0,0,0,24,0,2,0,0,0,0,0,2,0,0,6,0,5,0,0,0,0,0,2,2,0,0,0,7,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,0,7,1,0,0,0,0,4,0,0,0,0,0,12,0,0
"7808",0,0,0,0,0,0,0,0,2,0,0,0,134,0,0,0,70,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,5,0,0,0,1,0,4,0,0,0,0,0,0,8,0,0,0,0,0,6,9,1,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"7809",10,0,1,10,0,0,3,0,0,0,3,0,0,0,2,0,0,0,2,1,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14,0,0,7,9,2,0,3,0,0,1,9,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,5,0,0,0,0,0
"7810",10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,19,0,0,0,0,69,0,0,0,0,0,0,5,0,0,1,1,0,0,15,0,0,0,0,12,0,3,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,10,0,0,0,1
